resourceId,topicId
R0001,PHY002
R0002,MAT016
R0003,BIO009
R0004,LIT035
R0005,GEO028
R0006,PHY002
R0007,CHM014
R0008,LIT033
R0009,CHM013
R0010,GEO027
R0011,GEO029
R0012,PHY001
R0013,GEO028
R0014,MAT018
R0015,CHM014
R0016,BIO007
R0017,HIS025
R0018,HIS023
R0019,MAT017
R0020,GEO030
R0021,BIO008
R0022,BIO006
R0023,MAT019
R0024,CHM013
R0025,PHY003
R0026,MAT019
R0027,CHM015
R0028,HIS025
R0029,GEO030
R0030,CHM011
R0031,HIS023
R0032,MAT018
R0033,CHM011
R0034,MAT016
R0035,GEO030
R0036,MAT018
R0037,CHM015
R0038,PHY004
R0039,PHY003
R0040,GEO026
R0041,PHY005
R0042,HIS021
R0043,LIT032
R0044,GEO030
R0045,MAT017
R0046,MAT016
R0047,LIT035
R0048,GEO028
R0049,HIS024
R0050,BIO009
R0051,LIT032
R0052,PHY004
R0053,BIO010
R0054,GEO028
R0055,HIS025
R0056,GEO030
R0057,MAT017
R0058,PHY001
R0059,LIT035
R0060,HIS022
R0061,MAT019
R0062,CHM011
R0063,PHY001
R0064,LIT033
R0065,LIT033
R0066,MAT020
R0067,CHM013
R0068,HIS024
R0069,LIT035
R0070,PHY001
R0071,LIT032
R0072,BIO008
R0073,MAT020
R0074,PHY004
R0075,BIO006
R0076,LIT032
R0077,LIT035
R0078,BIO009
R0079,CHM011
R0080,LIT034
R0081,CHM014
R0082,CHM013
R0083,GEO026
R0084,GEO029
R0085,GEO029
R0086,MAT016
R0087,PHY005
R0088,PHY002
R0089,CHM015
R0090,PHY001
R0091,PHY004
R0092,PHY005
R0093,HIS022
R0094,LIT033
R0095,MAT018
R0096,CHM014
R0097,BIO009
R0098,MAT016
R0099,GEO027
R0100,BIO007
R0101,GEO028
R0102,GEO028
R0103,GEO030
R0104,BIO007
R0105,GEO026
R0106,BIO007
R0107,CHM013
R0108,LIT035
R0109,BIO009
R0110,CHM012
R0111,GEO030
R0112,PHY005
R0113,BIO007
R0114,LIT035
R0115,BIO006
R0116,CHM011
R0117,LIT032
R0118,CHM014
R0119,PHY004
R0120,HIS025
R0121,HIS025
R0122,GEO030
R0123,GEO028
R0124,LIT032
R0125,CHM013
R0126,CHM014
R0127,LIT035
R0128,HIS021
R0129,PHY004
R0130,LIT033
R0131,CHM011
R0132,LIT033
R0133,CHM012
R0134,PHY005
R0135,GEO026
R0136,MAT016
R0137,BIO006
R0138,LIT034
R0139,MAT017
R0140,HIS021
R0141,MAT017
R0142,BIO009
R0143,GEO030
R0144,PHY005
R0145,GEO030
R0146,PHY005
R0147,CHM014
R0148,MAT017
R0149,HIS023
R0150,MAT016
R0151,MAT019
R0152,GEO029
R0153,MAT020
R0154,PHY001
R0155,MAT020
R0156,BIO009
R0157,BIO008
R0158,BIO010
R0159,MAT019
R0160,HIS022
R0161,MAT017
R0162,LIT032
R0163,PHY004
R0164,GEO028
R0165,PHY003
R0166,HIS022
R0167,MAT017
R0168,GEO029
R0169,GEO028
R0170,PHY001
R0171,PHY005
R0172,LIT035
R0173,HIS024
R0174,BIO010
R0175,BIO009
R0176,MAT020
R0177,PHY003
R0178,CHM014
R0179,BIO007
R0180,GEO027
R0181,MAT016
R0182,CHM012
R0183,PHY002
R0184,HIS022
R0185,MAT016
R0186,CHM011
R0187,HIS025
R0188,LIT031
R0189,CHM013
R0190,HIS023
R0191,CHM015
R0192,PHY002
R0193,GEO026
R0194,MAT018
R0195,MAT018
R0196,LIT033
R0197,LIT035
R0198,PHY002
R0199,MAT017
R0200,MAT017
R0201,BIO007
R0202,HIS023
R0203,GEO028
R0204,BIO008
R0205,CHM013
R0206,PHY003
R0207,PHY001
R0208,LIT035
R0209,HIS024
R0210,PHY005
